Time,Time Code,Country Name,Country Code,Real interest rate (%) [FR.INR.RINR],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]",Government Effectiveness: Percentile Rank [GE.PER.RNK],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]"
2002,YR2002,Argentina,ARG,..,-2776050000,48.1081085205078,28.3825969991682,10.2066467144411
2002,YR2002,Austria,AUT,..,..,95.1351318359375,45.31938619858,1.56277441149196
2002,YR2002,Australia,AUS,3.42491500912025,-7681971734.88822,90.8108139038086,20.7266612553969,3.94502714007345
2002,YR2002,Belgium,BEL,..,-9199049496.12605,96.2162170410156,70.8312976956765,1.03313414275776
2002,YR2002,Brazil,BRA,48.3404374454115,-14108096193.114,56.2162170410156,14.2305902713775,5.47527489339298
2002,YR2002,Bulgaria,BGR,5.16085220850796,-876321850.153046,59.4594612121582,33.6473037196123,9.71056962763958
2002,YR2002,Canada,CAN,2.91416358745355,4749229277.95075,94.594596862793,40.0586585930818,1.98762322116267
2002,YR2002,Colombia,COL,9.77520490167072,-1276872386.04946,40,14.8155696775272,8.51000517684848
2002,YR2002,Chile,CHL,4.27461225161684,-2206769652.97625,83.7837829589844,32.2572203541974,4.06503324754124
2002,YR2002,China,CHN,4.67972434460637,-46789569178.7806,52.4324340820312,22.6446280318572,13.3014877126424
2002,YR2002,Costa Rica,CRI,15.1473285612858,-590835689.593254,63.2432441711426,39.2245352070616,8.42775029018437
2002,YR2002,Cyprus,CYP,..,-555395904.145217,86.4864883422852,62.4053120319487,3.78825964758719
2002,YR2002,Croatia,HRV,8.66270733023583,-411785207.82629,63.7837829589844,35.8911884577626,4.84213930685667
2002,YR2002,Denmark,DNK,..,-1781036187.82995,99.4594573974609,45.7044791859005,1.7811164321679
2002,YR2002,Dominican Republic,DOM,17.8958206645937,-916800000,43.7837829589844,30.724010155589,6.80511921829037
2002,YR2002,Estonia,EST,..,-152577825.511914,73.5135116577148,57.9558790066704,3.55352070544501
2002,YR2002,Finland,FIN,..,-756942687.965904,100,39.1350026265102,2.67230580660803
2002,YR2002,France,FRA,..,1451944337.96749,88.6486511230469,27.5310502579308,2.01085885192927
